name,integer
Walk_p03_r01_v16_c06.mp4,30
Laydown_p03_r00_v07_c04.mp4,15
Drink.Fromcup_p17_r02_v09_c01.mp4,9
Drink.Fromcup_p09_r05_v15_c03.mp4,9
Cook.Stir_p13_r04_v23_c07.mp4,4
Drink.Fromcup_p17_r00_v14_c06.mp4,9
Walk_p17_r09_v11_c07.mp4,30
Getup_p06_r01_v06_c05.mp4,14
Pour.Frombottle_p09_r00_v05_c04.mp4,21
Leave_p07_r01_v03_c03.mp4,16
Walk_p15_r05_v13_c06.mp4,30
Getup_p04_r06_v04_c04.mp4,14
Drink.Fromcup_p09_r03_v08_c01.mp4,9
Enter_p04_r01_v07_c05.mp4,13
Cook.Cleandishes_p03_r01_v16_c06.mp4,1
Pour.Fromcan_p12_r00_v03_c05.mp4,22
Drink.Fromcup_p09_r04_v03_c04.mp4,9
Cook.Cleandishes_p07_r01_v20_c06.mp4,1
Drink.Fromcup_p03_r08_v04_c05.mp4,9
Walk_p12_r06_v14_c05.mp4,30
Walk_p07_r01_v04_c07.mp4,30
Walk_p13_r05_v12_c02.mp4,30
Getup_p12_r07_v07_c04.mp4,14
Readbook_p12_r00_v06_c05.mp4,24
Getup_p06_r01_v10_c01.mp4,14
Enter_p09_r00_v11_c01.mp4,13
Cook.Cleanup_p15_r05_v13_c06.mp4,2
Drink.Fromcup_p03_r00_v13_c02.mp4,9
Walk_p15_r11_v03_c04.mp4,30
WatchTV_p04_r07_v03_c04.mp4,31
Sitdown_p04_r01_v10_c02.mp4,25
Walk_p03_r29_v02_c05.mp4,30
Walk_p03_r01_v16_c07.mp4,30
Cook.Cut_p12_r01_v12_c07.mp4,3
Walk_p15_r10_v04_c04.mp4,30
Drink.Fromcup_p04_r05_v15_c03.mp4,9
Leave_p06_r00_v12_c03.mp4,16
Leave_p06_r02_v27_c01.mp4,16
Eat.Attable_p09_r39_v08_c01.mp4,11
Drink.Fromcup_p09_r03_v15_c03.mp4,9
Readbook_p03_r12_v02_c04.mp4,24
Walk_p04_r26_v05_c04.mp4,30
Enter_p06_r02_v15_c01.mp4,13
Drink.Fromcup_p07_r07_v08_c02.mp4,9
Cook.Stir_p09_r13_v12_c07.mp4,4
Cook.Cleanup_p04_r00_v16_c06.mp4,2
Takepills_p17_r02_v05_c04.mp4,26
Drink.Fromcup_p12_r04_v14_c05.mp4,9
Readbook_p04_r03_v05_c05.mp4,24
Eat.Attable_p07_r12_v08_c01.mp4,11
Makecoffee.Pourwater_p03_r00_v16_c03.mp4,18
Enter_p06_r00_v12_c03.mp4,13
Sitdown_p12_r00_v05_c04.mp4,25
Cook.Cut_p12_r00_v12_c07.mp4,3
Walk_p07_r07_v03_c05.mp4,30
Cook.Cleandishes_p09_r03_v12_c06.mp4,1
Takepills_p17_r01_v04_c05.mp4,26
Sitdown_p15_r02_v11_c02.mp4,25
Walk_p09_r04_v10_c01.mp4,30
Takepills_p03_r00_v04_c04.mp4,26
Pour.Fromcan_p13_r02_v11_c01.mp4,22
Maketea.Boilwater_p13_r01_v21_c06.mp4,19
